VegID,PointID,CenterVsEdge,VFzone,LocationType,Control_or_Treatment,Burn2023,Burn2022,Date,CenterRobel_N,CenterRobel_E,CenterRobel_S,CenterRobel_W,EdgeRobel_N,EdgeRobel_E,EdgeRobel_S,EdgeRobel_W,Plot%Shrub,Plot%Tree,VegPlotLocation,%LiveGrass,%LiveForb,%Shrub,%DeadGrass,%OtherDead,%Litter,%Bare,PropLiveGrass,PropLiveForb,PropShrub,PropDeadGrass,PropOtherDead,PropLitter,PropBare
96,8T_West,Edge,8T,uplands,Treatment,yes,no,19-May-22,1,0,2,2,1.5,1.5,1,0,0,0,Center,18,2,0,80,0,0,0,0.18,0.02,0,0.8,0,0,0
96,8T_West,Edge,8T,uplands,Treatment,yes,no,19-May-22,1,0,2,2,1.5,1.5,1,0,0,0,North,20,5,0,75,0,0,0,0.2,0.05,0,0.75,0,0,0
96,8T_West,Edge,8T,uplands,Treatment,yes,no,19-May-22,1,0,2,2,1.5,1.5,1,0,0,0,East,10,20,0,65,0,0,5,0.1,0.2,0,0.65,0,0,0.05
96,8T_West,Edge,8T,uplands,Treatment,yes,no,19-May-22,1,0,2,2,1.5,1.5,1,0,0,0,South,15,5,0,75,0,0,5,0.15,0.05,0,0.75,0,0,0.05
96,8T_West,Edge,8T,uplands,Treatment,yes,no,19-May-22,1,0,2,2,1.5,1.5,1,0,0,0,West,15,5,0,70,0,0,10,0.15,0.05,0,0.7,0,0,0.1
97,6C_West,Edge,6C,uplands,Control,yes,yes,19-May-22,0,0,0,0,1,0,0,0,0,0,Center,25,0,0,0,0,10,65,0.25,0,0,0,0,0.1,0.65
97,6C_West,Edge,6C,uplands,Control,yes,yes,19-May-22,0,0,0,0,1,0,0,0,0,0,North,25,2,0,0,0,23,50,0.25,0.02,0,0,0,0.23,0.5
97,6C_West,Edge,6C,uplands,Control,yes,yes,19-May-22,0,0,0,0,1,0,0,0,0,0,East,25,10,0,0,0,30,35,0.25,0.1,0,0,0,0.3,0.35
97,6C_West,Edge,6C,uplands,Control,yes,yes,19-May-22,0,0,0,0,1,0,0,0,0,0,South,10,0,0,0,0,40,50,0.1,0,0,0,0,0.4,0.5
97,6C_West,Edge,6C,uplands,Control,yes,yes,19-May-22,0,0,0,0,1,0,0,0,0,0,West,25,0,0,0,2,25,48,0.25,0,0,0,0.02,0.25,0.48
98,6C_North,Edge,6C,uplands,Control,yes,yes,19-May-22,0,0,0,0,0,0,0,0,0,0,Center,25,5,0,5,0,10,55,0.25,0.05,0,0.05,0,0.1,0.55
98,6C_North,Edge,6C,uplands,Control,yes,yes,19-May-22,0,0,0,0,0,0,0,0,0,0,North,5,20,0,0,0,5,70,0.05,0.2,0,0,0,0.05,0.7
98,6C_North,Edge,6C,uplands,Control,yes,yes,19-May-22,0,0,0,0,0,0,0,0,0,0,East,25,0,0,0,0,15,60,0.25,0,0,0,0,0.15,0.6
98,6C_North,Edge,6C,uplands,Control,yes,yes,19-May-22,0,0,0,0,0,0,0,0,0,0,South,20,0,0,0,0,20,60,0.2,0,0,0,0,0.2,0.6
98,6C_North,Edge,6C,uplands,Control,yes,yes,19-May-22,0,0,0,0,0,0,0,0,0,0,West,25,10,0,0,0,10,55,0.25,0.1,0,0,0,0.1,0.55
99,6C_Center,Center,6C,uplands,Control,yes,yes,19-May-22,0,0,0.5,0,0,0,0,0,0,0,Center,25,0,0,0,20,0,55,0.25,0,0,0,0.2,0,0.55
99,6C_Center,Center,6C,uplands,Control,yes,yes,19-May-22,0,0,0.5,0,0,0,0,0,0,0,North,55,5,0,0,0,0,40,0.55,0.05,0,0,0,0,0.4
99,6C_Center,Center,6C,uplands,Control,yes,yes,19-May-22,0,0,0.5,0,0,0,0,0,0,0,East,50,5,0,0,0,0,45,0.5,0.05,0,0,0,0,0.45
99,6C_Center,Center,6C,uplands,Control,yes,yes,19-May-22,0,0,0.5,0,0,0,0,0,0,0,South,55,0,0,10,0,0,35,0.55,0,0,0.1,0,0,0.35
99,6C_Center,Center,6C,uplands,Control,yes,yes,19-May-22,0,0,0.5,0,0,0,0,0,0,0,West,20,10,0,5,0,0,65,0.2,0.1,0,0.05,0,0,0.65
100,6C_South,Edge,6C,uplands,Control,yes,yes,19-May-22,0,0,0,0,0,0,0,0,0,0,Center,15,0,0,0,0,15,70,0.15,0,0,0,0,0.15,0.7
100,6C_South,Edge,6C,uplands,Control,yes,yes,19-May-22,0,0,0,0,0,0,0,0,0,0,North,3,0,0,0,0,5,92,0.03,0,0,0,0,0.05,0.92
100,6C_South,Edge,6C,uplands,Control,yes,yes,19-May-22,0,0,0,0,0,0,0,0,0,0,East,5,5,0,5,0,20,65,0.05,0.05,0,0.05,0,0.2,0.65
100,6C_South,Edge,6C,uplands,Control,yes,yes,19-May-22,0,0,0,0,0,0,0,0,0,0,South,25,2,0,0,0,13,60,0.25,0.02,0,0,0,0.13,0.6
100,6C_South,Edge,6C,uplands,Control,yes,yes,19-May-22,0,0,0,0,0,0,0,0,0,0,West,15,7,0,25,3,10,50,0.15,0.07,0,0.25,0.03,0.1,0.5
101,6C_East,Edge,6C,uplands,Control,yes,yes,19-May-22,0,0,0.5,0.5,0,0,0,0,0,0,Center,30,15,0,0,5,0,50,0.3,0.15,0,0,0.05,0,0.5
101,6C_East,Edge,6C,uplands,Control,yes,yes,19-May-22,0,0,0.5,0.5,0,0,0,0,0,0,North,30,20,0,0,0,0,50,0.3,0.2,0,0,0,0,0.5
101,6C_East,Edge,6C,uplands,Control,yes,yes,19-May-22,0,0,0.5,0.5,0,0,0,0,0,0,East,35,10,0,5,0,0,50,0.35,0.1,0,0.05,0,0,0.5
101,6C_East,Edge,6C,uplands,Control,yes,yes,19-May-22,0,0,0.5,0.5,0,0,0,0,0,0,South,30,15,0,15,0,0,30,0.3,0.15,0,0.15,0,0,0.3
101,6C_East,Edge,6C,uplands,Control,yes,yes,19-May-22,0,0,0.5,0.5,0,0,0,0,0,0,West,25,15,0,10,0,0,50,0.25,0.15,0,0.1,0,0,0.5
102,6T_North,Edge,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,0,0,Center,20,0,0,30,0,40,10,0.2,0,0,0.3,0,0.4,0.1
102,6T_North,Edge,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,0,0,North,20,0,0,0,0,30,50,0.2,0,0,0,0,0.3,0.5
102,6T_North,Edge,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,0,0,East,30,0,0,0,0,50,20,0.3,0,0,0,0,0.5,0.2
102,6T_North,Edge,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,0,0,South,25,5,0,0,0,40,30,0.25,0.05,0,0,0,0.4,0.3
102,6T_North,Edge,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,0,0,West,25,5,5,0,0,15,50,0.25,0.05,0.05,0,0,0.15,0.5
103,6T_East,Edge,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,40,0,Center,10,0,0,0,0,10,80,0.1,0,0,0,0,0.1,0.8
103,6T_East,Edge,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,40,0,North,50,0,0,0,0,10,40,0.5,0,0,0,0,0.1,0.4
103,6T_East,Edge,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,40,0,East,25,1,2,0,0,7,65,0.25,0.01,0.02,0,0,0.07,0.65
103,6T_East,Edge,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,40,0,South,30,0,0,0,0,30,30,0.3,0,0,0,0,0.3,0.3
103,6T_East,Edge,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,40,0,West,25,5,0,0,0,40,30,0.25,0.05,0,0,0,0.4,0.3
104,6T_Center,Center,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,10,0,Center,30,10,0,0,0,0,60,0.3,0.1,0,0,0,0,0.6
104,6T_Center,Center,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,10,0,North,35,10,0,15,0,0,40,0.35,0.1,0,0.15,0,0,0.4
104,6T_Center,Center,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,10,0,East,45,5,0,0,0,10,40,0.45,0.05,0,0,0,0.1,0.4
104,6T_Center,Center,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,10,0,South,40,10,0,0,0,0,50,0.4,0.1,0,0,0,0,0.5
104,6T_Center,Center,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,10,0,West,30,5,0,5,0,0,60,0.3,0.05,0,0.05,0,0,0.6
105,6T_West,Edge,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,10,0,Center,20,0,0,30,0,40,10,0.2,0,0,0.3,0,0.4,0.1
105,6T_West,Edge,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,10,0,North,20,0,0,0,0,30,50,0.2,0,0,0,0,0.3,0.5
105,6T_West,Edge,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,10,0,East,30,0,0,0,0,50,20,0.3,0,0,0,0,0.5,0.2
105,6T_West,Edge,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,10,0,South,25,5,0,0,0,40,30,0.25,0.05,0,0,0,0.4,0.3
105,6T_West,Edge,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,10,0,West,25,5,5,0,0,15,50,0.25,0.05,0.05,0,0,0.15,0.5
106,6T_South,Edge,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,2,0,Center,45,5,0,5,0,0,45,0.45,0.05,0,0.05,0,0,0.45
106,6T_South,Edge,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,2,0,North,40,10,0,5,0,0,45,0.4,0.1,0,0.05,0,0,0.45
106,6T_South,Edge,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,2,0,East,40,5,0,0,0,5,50,0.4,0.05,0,0,0,0.05,0.5
106,6T_South,Edge,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,2,0,South,45,0,0,5,0,5,45,0.45,0,0,0.05,0,0.05,0.45
106,6T_South,Edge,6T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,2,0,West,30,10,0,5,0,5,50,0.3,0.1,0,0.05,0,0.05,0.5
107,7T_West,Edge,7T,uplands,Treatment,yes,yes,19-May-22,1.5,1.5,2.5,1.5,1.5,2.5,1.5,1.5,5,0,Center,25,20,0,50,5,0,0,0.25,0.2,0,0.5,0.05,0,0
107,7T_West,Edge,7T,uplands,Treatment,yes,yes,19-May-22,1.5,1.5,2.5,1.5,1.5,2.5,1.5,1.5,5,0,North,5,5,0,90,0,0,0,0.05,0.05,0,0.9,0,0,0
107,7T_West,Edge,7T,uplands,Treatment,yes,yes,19-May-22,1.5,1.5,2.5,1.5,1.5,2.5,1.5,1.5,5,0,East,5,0,0,95,0,0,0,0.05,0,0,0.95,0,0,0
107,7T_West,Edge,7T,uplands,Treatment,yes,yes,19-May-22,1.5,1.5,2.5,1.5,1.5,2.5,1.5,1.5,5,0,South,10,5,0,85,0,0,0,0.1,0.05,0,0.85,0,0,0
107,7T_West,Edge,7T,uplands,Treatment,yes,yes,19-May-22,1.5,1.5,2.5,1.5,1.5,2.5,1.5,1.5,5,0,West,3,2,0,95,0,0,0,0.03,0.02,0,0.95,0,0,0
108,7T_South,Edge,7T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,0,0,Center,18,2,0,10,0,0,70,0.18,0.02,0,0.1,0,0,0.7
108,7T_South,Edge,7T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,0,0,North,50,0,0,20,0,0,30,0.5,0,0,0.2,0,0,0.3
108,7T_South,Edge,7T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,0,0,East,30,20,0,20,0,0,30,0.3,0.2,0,0.2,0,0,0.3
108,7T_South,Edge,7T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,0,0,South,40,5,0,10,0,0,45,0.4,0.05,0,0.1,0,0,0.45
108,7T_South,Edge,7T,uplands,Treatment,yes,yes,19-May-22,0,0,0,0,0,0,0,0,0,0,West,30,10,0,20,0,0,40,0.3,0.1,0,0.2,0,0,0.4
113,6T_West,Edge,6T,uplands,Treatment,yes,yes,13-Jun-22,1.200000048,2,2,0,0,1.5,0,1.5,10,0,Center,50,5,0,0,0,10,35,0.5,0.05,0,0,0,0.1,0.35
113,6T_West,Edge,6T,uplands,Treatment,yes,yes,13-Jun-22,1.200000048,2,2,0,0,1.5,0,1.5,10,0,North,55,2,0,8,0,5,30,0.55,0.02,0,0.08,0,0.05,0.3
113,6T_West,Edge,6T,uplands,Treatment,yes,yes,13-Jun-22,1.200000048,2,2,0,0,1.5,0,1.5,10,0,East,60,10,5,0,0,5,20,0.6,0.1,0.05,0,0,0.05,0.2
113,6T_West,Edge,6T,uplands,Treatment,yes,yes,13-Jun-22,1.200000048,2,2,0,0,1.5,0,1.5,10,0,South,30,2,0,8,0,10,50,0.3,0.02,0,0.08,0,0.1,0.5
113,6T_West,Edge,6T,uplands,Treatment,yes,yes,13-Jun-22,1.200000048,2,2,0,0,1.5,0,1.5,10,0,West,30,15,0,0,0,10,45,0.3,0.15,0,0,0,0.1,0.45
114,6C_East,Edge,6C,uplands,Control,yes,yes,13-Jun-22,2,1.5,1.5,1,1.5,0,2,4,0,0,Center,30,10,0,0,0,5,55,0.3,0.1,0,0,0,0.05,0.55
114,6C_East,Edge,6C,uplands,Control,yes,yes,13-Jun-22,2,1.5,1.5,1,1.5,0,2,4,0,0,North,25,5,0,0,0,5,65,0.25,0.05,0,0,0,0.05,0.65
114,6C_East,Edge,6C,uplands,Control,yes,yes,13-Jun-22,2,1.5,1.5,1,1.5,0,2,4,0,0,East,30,20,0,0,0,0,50,0.3,0.2,0,0,0,0,0.5
114,6C_East,Edge,6C,uplands,Control,yes,yes,13-Jun-22,2,1.5,1.5,1,1.5,0,2,4,0,0,South,55,10,0,0,1,4,30,0.55,0.1,0,0,0.01,0.04,0.3
114,6C_East,Edge,6C,uplands,Control,yes,yes,13-Jun-22,2,1.5,1.5,1,1.5,0,2,4,0,0,West,30,5,0,0,0,5,60,0.3,0.05,0,0,0,0.05,0.6
115,6C_Center,Center,6C,uplands,Control,yes,yes,13-Jun-22,1.5,1,1.5,0,0,1,2,0,2,0,Center,10,25,0,0,0,10,55,0.1,0.25,0,0,0,0.1,0.55
115,6C_Center,Center,6C,uplands,Control,yes,yes,13-Jun-22,1.5,1,1.5,0,0,1,2,0,2,0,North,50,10,0,0,0,5,35,0.5,0.1,0,0,0,0.05,0.35
115,6C_Center,Center,6C,uplands,Control,yes,yes,13-Jun-22,1.5,1,1.5,0,0,1,2,0,2,0,East,10,5,0,0,0,5,80,0.1,0.05,0,0,0,0.05,0.8
115,6C_Center,Center,6C,uplands,Control,yes,yes,13-Jun-22,1.5,1,1.5,0,0,1,2,0,2,0,South,25,10,0,0,0,5,60,0.25,0.1,0,0,0,0.05,0.6
115,6C_Center,Center,6C,uplands,Control,yes,yes,13-Jun-22,1.5,1,1.5,0,0,1,2,0,2,0,West,30,10,0,10,0,0,50,0.3,0.1,0,0.1,0,0,0.5
116,6C_South,Edge,6C,uplands,Control,yes,yes,13-Jun-22,1,0,2.5,0,0,0,1.5,0,0,0,Center,30,5,0,10,0,15,40,0.3,0.05,0,0.1,0,0.15,0.4
116,6C_South,Edge,6C,uplands,Control,yes,yes,13-Jun-22,1,0,2.5,0,0,0,1.5,0,0,0,North,5,0,0,0,0,0,95,0.05,0,0,0,0,0,0.95
116,6C_South,Edge,6C,uplands,Control,yes,yes,13-Jun-22,1,0,2.5,0,0,0,1.5,0,0,0,East,5,5,0,5,0,5,80,0.05,0.05,0,0.05,0,0.05,0.8
116,6C_South,Edge,6C,uplands,Control,yes,yes,13-Jun-22,1,0,2.5,0,0,0,1.5,0,0,0,South,50,25,0,10,0,0,15,0.5,0.25,0,0.1,0,0,0.15
116,6C_South,Edge,6C,uplands,Control,yes,yes,13-Jun-22,1,0,2.5,0,0,0,1.5,0,0,0,West,50,10,0,2,0,0,38,0.5,0.1,0,0.02,0,0,0.38
117,6C_West,Edge,6C,uplands,Control,yes,yes,13-Jun-22,0,1,0,0.5,0,0,0,0,1,0,Center,30,15,0,0,0,5,50,0.3,0.15,0,0,0,0.05,0.5
117,6C_West,Edge,6C,uplands,Control,yes,yes,13-Jun-22,0,1,0,0.5,0,0,0,0,1,0,North,50,15,0,5,0,10,20,0.5,0.15,0,0.05,0,0.1,0.2
117,6C_West,Edge,6C,uplands,Control,yes,yes,13-Jun-22,0,1,0,0.5,0,0,0,0,1,0,East,45,25,0,3,0,2,25,0.45,0.25,0,0.03,0,0.02,0.25
117,6C_West,Edge,6C,uplands,Control,yes,yes,13-Jun-22,0,1,0,0.5,0,0,0,0,1,0,South,35,10,0,2,0,3,50,0.35,0.1,0,0.02,0,0.03,0.5
117,6C_West,Edge,6C,uplands,Control,yes,yes,13-Jun-22,0,1,0,0.5,0,0,0,0,1,0,West,40,10,0,5,0,5,40,0.4,0.1,0,0.05,0,0.05,0.4
118,6C_North,Edge,6C,uplands,Control,yes,yes,13-Jun-22,1,0,0,0,1,0.5,1,0,1,0,Center,32,0,0,3,0,5,60,0.32,0,0,0.03,0,0.05,0.6
118,6C_North,Edge,6C,uplands,Control,yes,yes,13-Jun-22,1,0,0,0,1,0.5,1,0,1,0,North,30,5,0,2,0,3,60,0.3,0.05,0,0.02,0,0.03,0.6
118,6C_North,Edge,6C,uplands,Control,yes,yes,13-Jun-22,1,0,0,0,1,0.5,1,0,1,0,East,40,10,0,5,0,5,40,0.4,0.1,0,0.05,0,0.05,0.4
118,6C_North,Edge,6C,uplands,Control,yes,yes,13-Jun-22,1,0,0,0,1,0.5,1,0,1,0,South,15,3,0,5,0,17,60,0.15,0.03,0,0.05,0,0.17,0.6
118,6C_North,Edge,6C,uplands,Control,yes,yes,13-Jun-22,1,0,0,0,1,0.5,1,0,1,0,West,15,10,0,10,0,5,60,0.15,0.1,0,0.1,0,0.05,0.6
87,8C_North,Edge,8C,uplands,Control,yes,no,19-May-22,1.5,2,1,1.5,0,1,2.5,0,15,0,North,20,25,0,55,0,0,0,0.2,0.25,0,0.55,0,0,0
87,8C_North,Edge,8C,uplands,Control,yes,no,19-May-22,1.5,2,1,1.5,0,1,2.5,0,15,0,East,10,25,0,60,5,0,0,0.1,0.25,0,0.6,0.05,0,0
87,8C_North,Edge,8C,uplands,Control,yes,no,19-May-22,1.5,2,1,1.5,0,1,2.5,0,15,0,South,15,20,2,63,0,0,0,0.15,0.2,0.02,0.63,0,0,0
87,8C_North,Edge,8C,uplands,Control,yes,no,19-May-22,1.5,2,1,1.5,0,1,2.5,0,15,0,West,35,5,0,5,0,5,50,0.35,0.05,0,0.05,0,0.05,0.5
88,8C_East,Edge,8C,uplands,Control,yes,no,19-May-22,2.5,1.5,0.5,1.5,1.5,1.5,1.5,2,25,0,Center,10,10,0,80,0,0,0,0.1,0.1,0,0.8,0,0,0
88,8C_East,Edge,8C,uplands,Control,yes,no,19-May-22,2.5,1.5,0.5,1.5,1.5,1.5,1.5,2,25,0,North,30,5,0,55,0,5,5,0.3,0.05,0,0.55,0,0.05,0.05
88,8C_East,Edge,8C,uplands,Control,yes,no,19-May-22,2.5,1.5,0.5,1.5,1.5,1.5,1.5,2,25,0,East,2,3,0,10,0,0,85,0.02,0.03,0,0.1,0,0,0.85
88,8C_East,Edge,8C,uplands,Control,yes,no,19-May-22,2.5,1.5,0.5,1.5,1.5,1.5,1.5,2,25,0,South,5,10,0,35,0,0,50,0.05,0.1,0,0.35,0,0,0.5
88,8C_East,Edge,8C,uplands,Control,yes,no,19-May-22,2.5,1.5,0.5,1.5,1.5,1.5,1.5,2,25,0,West,5,20,0,75,0,0,0,0.05,0.2,0,0.75,0,0,0
89,8C_Center,Center,8C,uplands,Control,yes,no,19-May-22,1,0.5,2.5,2,0,0,1,2,0,0,Center,15,20,0,35,0,10,20,0.15,0.2,0,0.35,0,0.1,0.2
89,8C_Center,Center,8C,uplands,Control,yes,no,19-May-22,1,0.5,2.5,2,0,0,1,2,0,0,North,10,20,0,30,0,30,10,0.1,0.2,0,0.3,0,0.3,0.1
89,8C_Center,Center,8C,uplands,Control,yes,no,19-May-22,1,0.5,2.5,2,0,0,1,2,0,0,East,30,5,0,10,0,5,50,0.3,0.05,0,0.1,0,0.05,0.5
89,8C_Center,Center,8C,uplands,Control,yes,no,19-May-22,1,0.5,2.5,2,0,0,1,2,0,0,South,25,15,0,10,0,5,45,0.25,0.15,0,0.1,0,0.05,0.45
89,8C_Center,Center,8C,uplands,Control,yes,no,19-May-22,1,0.5,2.5,2,0,0,1,2,0,0,West,25,5,0,45,0,15,10,0.25,0.05,0,0.45,0,0.15,0.1
90,8C_West,Edge,8C,uplands,Control,yes,no,19-May-22,1,1.5,0,1,0,0,0,2,0,0,Center,45,10,0,25,0,10,10,0.45,0.1,0,0.25,0,0.1,0.1
90,8C_West,Edge,8C,uplands,Control,yes,no,19-May-22,1,1.5,0,1,0,0,0,2,0,0,North,10,15,0,50,0,10,10,0.1,0.15,0,0.5,0,0.1,0.1
90,8C_West,Edge,8C,uplands,Control,yes,no,19-May-22,1,1.5,0,1,0,0,0,2,0,0,East,15,25,0,35,0,15,10,0.15,0.25,0,0.35,0,0.15,0.1
90,8C_West,Edge,8C,uplands,Control,yes,no,19-May-22,1,1.5,0,1,0,0,0,2,0,0,South,20,20,0,35,0,10,15,0.2,0.2,0,0.35,0,0.1,0.15
90,8C_West,Edge,8C,uplands,Control,yes,no,19-May-22,1,1.5,0,1,0,0,0,2,0,0,West,10,30,0,25,0,20,15,0.1,0.3,0,0.25,0,0.2,0.15
91,8C_South,Edge,8C,uplands,Control,yes,no,19-May-22,1.5,1.5,2,2,2,1.5,2,1.5,0,0,Center,0,25,0,65,0,0,0,0,0.25,0,0.65,0,0,0
91,8C_South,Edge,8C,uplands,Control,yes,no,19-May-22,1.5,1.5,2,2,2,1.5,2,1.5,0,0,North,0,50,0,40,10,0,0,0,0.5,0,0.4,0.1,0,0
91,8C_South,Edge,8C,uplands,Control,yes,no,19-May-22,1.5,1.5,2,2,2,1.5,2,1.5,0,0,East,10,30,0,25,0,0,35,0.1,0.3,0,0.25,0,0,0.35
91,8C_South,Edge,8C,uplands,Control,yes,no,19-May-22,1.5,1.5,2,2,2,1.5,2,1.5,0,0,South,20,10,0,70,0,0,0,0.2,0.1,0,0.7,0,0,0
91,8C_South,Edge,8C,uplands,Control,yes,no,19-May-22,1.5,1.5,2,2,2,1.5,2,1.5,0,0,West,25,15,0,60,0,0,0,0.25,0.15,0,0.6,0,0,0
213,9C_Center,Center,9C,uplands,Control,no,no,17-Jun-22,1,1,0.5,1,0.5,1,0.5,1,0,0,East,30,30,0,35,0,5,0,0.3,0.3,0,0.35,0,0.05,0
